,MAE
"('WATER', '2:3-D-01')",42.00034875659994
"('WATER', '2-MET-06')",27.36224164118417
"('WATER', 'DIBUT-02')",12.160940235625603
"('WATER', 'DODEC-01')",23.16680287877972
"('WATER', 'GAMMA-01')",9.565616983814474
"('WATER', '1:2:2-01')",108.9211667571222
"('WATER', '1-MET-01')",26.39844180720803
"('WATER', 'FLUOR-01')",22.589115413708075
"('WATER', 'CYCLO-07')",34.94687110557262
"('WATER', '1:2-D-02')",3.6541925662960115
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",231.9626691463143
"('WATER', 'BUTYL-01')",24.2463063500021
"('WATER', 'ACETA-02')",5.853759633139449
"('WATER', '1-CHL-02')",27.622486396260022
"('WATER', 'N-PRO-02')",33.235676404903856
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",11.99986213771918
"('WATER', '1-NIT-01')",8.486204237197686
"('WATER', 'ETHYL-07')",24.292256155130485
"('WATER', 'ISOBU-02')",31.714259456010556
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",48.64669437250217
"('WATER', '1-HEX-03')",4.589731192350139
"('WATER', '1:3-B-01')",32.41862434135716
"('WATER', 'BIS-C-01')",20.508298050176652
"('WATER', 'CAPRO-01')",11.058637405914707
"('WATER', 'CYCLO-08')",6.044057010111951
"('WATER', 'CYCLO-09')",40.16368271376567
"('WATER', '1-BUT-01')",31.29499335122776
"('WATER', 'GLUTA-01')",11.348347073667972
"('WATER', 'DIISO-02')",17.42896396257179
"('WATER', 'PROPA-01')",38.74321830569562
"('WATER', '1-TET-01')",22.38017093973219
"('WATER', '1-EIC-01')",32.26185233012985
"('WATER', 'BENZY-01')",21.388937062824414
"('WATER', 'TRANS-02')",29.97318968479903
"('WATER', 'N-BUT-04')",6.225706730616242
"('WATER', 'ISOPR-02')",31.713443455055955
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",13.910121246563838
"('WATER', 'ISOBU-03')",40.19765114983588
"('WATER', '1-DEC-01')",55.39580658715662
"('WATER', 'DIOCT-01')",12.652294655190568
"('WATER', 'ADIPO-01')",19.111795907295527
"('WATER', '2-MET-07')",2.3353701831463405
"('WATER', '1-OCT-04')",50.75103172997675
"('WATER', '2:2-D-02')",
"('WATER', 'N-BUT-05')",3.211887505292846
"('WATER', 'M-CRE-01')",11.858964156331378
"('WATER', '1-HEP-02')",
"('WATER', 'TERT--03')",12.87943080462216
"('WATER', 'BENZY-02')",
"('WATER', '3-MET-04')",34.84431426882788
"('WATER', '2-BUT-02')",
"('WATER', '2:2:4-02')",
"('WATER', 'CIS-D-01')",46.67746854813808
"('WATER', '1-ETH-01')",
"('WATER', 'D-LIM-01')",35.910015837341746
"('WATER', '2-NIT-01')",7.256222082575975
"('N-HEX-01', 'BENZE-01')",0.1437994480580319
"('N-HEX-01', 'N-HEP-01')",0.12379082254791095
"('N-HEX-01', 'CYCLO-01')",0.2869563583445009
"('N-HEX-01', 'N-OCT-01')",0.3745382014603234
"('N-HEX-01', 'TOLUE-01')",0.18727903764059908
"('N-HEX-01', 'METHY-02')",0.26639489424927504
"('N-HEX-01', '1-HEX-01')",0.03036527032404713
"('N-HEX-01', 'ETHYL-01')",0.4664073920159986
"('N-HEX-01', 'N-PEN-01')",0.13966040042616024
"('N-HEX-01', '1-HEP-01')",0.06611063919339097
"('N-HEX-01', 'ETHAN-01')",2.057654242511304
"('N-HEX-01', 'METHA-01')",3.883964809509029
"('N-HEX-01', '1-OCT-01')",0.2500781251634726
"('N-HEX-01', 'N-NON-01')",0.7170751542850479
"('N-HEX-01', 'CYCLO-02')",0.1829068743445535
"('N-HEX-01', 'METHY-01')",0.6038823585229796
"('N-HEX-01', 'ACETO-01')",0.7522108836607205
"('N-HEX-01', 'ETHYL-02')",0.18016808288294356
"('N-HEX-01', 'N-HEX-02')",3.312487049745785
"('N-HEX-01', 'SQUAL-01')",8.272824771899053
"('N-HEX-01', 'CHLOR-01')",0.5188240042117157
"('N-HEX-01', 'N-BUT-01')",2.338386602503531
"('N-HEX-01', 'CARBO-01')",0.059718315025400204
"('N-HEX-01', 'ETHYL-03')",1.3877174927151865
"('N-HEX-01', '1-PRO-01')",1.519574727713765
"('N-HEX-01', 'ACETO-02')",3.806907991227674
"('N-HEX-01', 'P-XYL-01')",0.36239920589902297
"('N-HEX-01', 'M-XYL-01')",0.4019620332295224
"('N-HEX-01', 'ISOPR-01')",2.0884385348590477
"('N-HEX-01', '2-MET-01')",0.6589120279034792
"('N-HEX-01', '2-MET-02')",0.07617069734687254
"('N-HEX-01', '2:2:4-01')",0.12441941356720457
"('N-HEX-01', '2-MET-03')",0.08743244786351176
"('N-HEX-01', 'O-XYL-01')",0.9102963852180935
"('N-HEX-01', 'DICHL-01')",0.516488464570729
"('N-HEX-01', '1:2-D-01')",0.7984092968608734
"('N-HEX-01', '2:4-D-01')",0.07733990904470613
"('N-HEX-01', '1-OCT-02')",6.230139259220997
"('N-HEX-01', '2-MET-04')",0.3284538310758056
"('N-HEX-01', 'SULFO-01')",26.882917007100286
"('N-HEX-01', 'CYCLO-03')",0.1413676865280092
"('N-HEX-01', '2:3:4-01')",0.3941001078863758
"('N-HEX-01', 'TETRA-01')",0.3071968918795077
"('N-HEX-01', 'NITRO-01')",5.464857000240535
"('N-HEX-01', '1:4-D-01')",0.9297243478964102
"('N-HEX-01', 'N-PRO-01')",0.5152110268609396
"('N-HEX-01', 'N-DEC-01')",1.0663276083402076
"('N-HEX-01', 'N:N-D-01')",7.1455043087615495
"('N-HEX-01', 'CHLOR-02')",0.8655659738289799
"('N-HEX-01', 'N-OCT-02')",3.9856601396886284
"('N-HEX-01', '2:5-D-01')",0.20213467509085686
"('N-HEX-01', 'METHY-03')",0.6535916567345285
"('N-HEX-01', '1-CHL-01')",0.9100062694390733
"('N-HEX-01', 'DI-N--01')",6.620967005678253
"('N-HEX-01', 'DIMET-02')",17.391045841969216
"('N-HEX-01', 'DIETH-02')",0.1765225935675331
"('N-HEX-01', 'DIBUT-01')",6.190326356331444
"('N-HEX-01', 'N-BUT-02')",1.163128549633981
"('N-HEX-01', 'TRIPH-01')",3.5764111297004457
"('N-HEX-01', '1-PEN-01')",3.994449609467075
"('N-HEX-01', 'PROPY-01')",1.0461551793278132
"('N-HEX-01', 'N:N-D-02')",9.6214216084371
"('N-HEX-01', 'ETHYL-04')",32.8685776480096
"('N-HEX-01', 'PROPI-01')",2.8948807434567105
"('N-HEX-01', 'N-OCT-03')",7.5435046561565
"('N-HEX-01', '4-FOR-01')",133.08481223127157
"('N-HEX-01', 'N-TET-01')",6.498737137942903
"('N-HEX-01', 'METHY-04')",0.07566367825449986
"('N-HEX-01', 'METHY-05')",4.853389358806946
"('N-HEX-01', 'N-EIC-01')",4.868420026664919
"('N-HEX-01', 'N-MET-02')",12.46017205977031
"('N-HEX-01', 'PYRID-02')",1.9447793574691894
"('N-HEX-01', 'DIISO-01')",0.22280230551101
"('N-HEX-01', '1-TRA-01')",0.5270522325058394
"('N-HEX-01', 'METHY-06')",1.7556023920971942
"('N-HEX-01', 'ANILI-01')",10.285590579887325
"('N-HEX-01', '1-PEN-02')",0.13020722788722608
"('N-HEX-01', 'NITRO-02')",7.504829386116508
"('N-HEX-01', 'TERT--01')",1.4372167178613873
"('N-HEX-01', 'TETRA-02')",14.76923319017034
"('N-HEX-01', 'TRIET-02')",0.11991409281339234
"('N-HEX-01', '2-BUT-01')",2.0949881527344907
"('N-HEX-01', 'N-MET-03')",19.825450298329454
"('N-HEX-01', 'ISOBU-01')",2.0492398472687317
"('N-HEX-01', 'METHY-07')",0.7719656199596454
"('N-HEX-01', 'ETHYL-05')",0.29972759009944144
"('N-HEX-01', 'ETHYL-06')",0.9096897713336634
"('N-HEX-01', 'METHY-08')",0.6244661318698719
"('N-HEX-01', 'PROPY-02')",10.631197556264421
"('N-HEX-01', 'METHY-09')",3.546878173490537
"('N-HEX-01', 'N-BUT-03')",0.8230216609302776
"('N-HEX-01', '1-HEX-02')",5.520410837837939
"('N-HEX-01', '2-PYR-01')",20.36850944053395
"('N-HEX-01', 'N-TRI-01')",8.909200516878949
