,Solute,Solvent,Solute SMILES,Solvent SMILES,Temp (K),ln gamma,Source
0,n-Hexane,"1,1,2,2-tetrabromoethane",CCCCCC,BrC(Br)C(Br)Br,298.15,2.370243741,Medina
1,Cyclohexane,"1,1,2,2-tetrabromoethane",C1CCCCC1,BrC(Br)C(Br)Br,298.15,1.623340818,Medina
2,Benzene,"1,1,2,2-tetrabromoethane",c1ccccc1,BrC(Br)C(Br)Br,298.15,0.21511138,Medina
3,2-methyl-2-butene,"1,1,2,2-tetrabromoethane",CC=C(C)C,BrC(Br)C(Br)Br,298.15,1.30833282,Medina
4,"2-methyl-1,3-butadiene","1,1,2,2-tetrabromoethane",C=CC(=C)C,BrC(Br)C(Br)Br,298.15,0.896088025,Medina
5,n-Pentane,"1,1,2,2-tetrachloroethane",CCCCC,ClC(Cl)C(Cl)Cl,298.15,1.160020917,Medina
6,2-methylbutane,"1,1,2,2-tetrachloroethane",CCC(C)C,ClC(Cl)C(Cl)Cl,298.15,1.534714366,Medina
7,n-Hexane,"1,1,2,2-tetrachloroethane",CCCCCC,ClC(Cl)C(Cl)Cl,298.15,1.271823573,Medina
8,Cyclohexane,"1,1,2,2-tetrachloroethane",C1CCCCC1,ClC(Cl)C(Cl)Cl,298.15,1.030995074,Medina
9,Benzene,"1,1,2,2-tetrachloroethane",c1ccccc1,ClC(Cl)C(Cl)Cl,298.15,-0.223143551,Medina
10,2-methyl-2-butene,"1,1,2,2-tetrachloroethane",CC=C(C)C,ClC(Cl)C(Cl)Cl,298.15,0.593326845,Medina
11,"2-methyl-1,3-butadiene","1,1,2,2-tetrachloroethane",C=CC(=C)C,ClC(Cl)C(Cl)Cl,298.15,0.343589704,Medina
12,Acetone,"1,1,2,2-tetrachloroethane",CC(C)=O,ClC(Cl)C(Cl)Cl,298.15,-1.049822124,Medina
13,Benzene,"1,12-dicyanododecane",c1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.09531018,Medina
14,Toluene,"1,12-dicyanododecane",Cc1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.09531018,Medina
15,ethylbenzene,"1,12-dicyanododecane",CCc1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.405465108,Medina
16,Benzene,"1,2-dibromoethane",c1ccccc1,BrCCBr,298.15,0.504088438,Medina
17,Toluene,"1,2-dibromoethane",Cc1ccccc1,BrCCBr,298.15,0.488580015,Medina
18,n-Pentane,"1,2-dichloroethane",CCCCC,ClCCCl,298.15,1.504077397,Medina
19,n-Hexane,"1,2-dichloroethane",CCCCCC,ClCCCl,298.15,1.4968833496666667,Medina
20,Cyclohexane,"1,2-dichloroethane",C1CCCCC1,ClCCCl,298.15,1.418819416,Medina
21,2-methylpentane,"1,2-dichloroethane",CCCC(C)C,ClCCCl,298.15,1.631199404,Medina
22,n-Heptane,"1,2-dichloroethane",CCCCCCC,ClCCCl,298.15,1.757857918,Medina
23,"2,4-dimethylpentane","1,2-dichloroethane",CC(C)CC(C)C,ClCCCl,298.15,1.729884066,Medina
24,n-Octane,"1,2-dichloroethane",CCCCCCCC,ClCCCl,298.15,1.860974538,Medina
25,"2,3,4-trimethylpentane","1,2-dichloroethane",CC(C)C(C)C(C)C,ClCCCl,298.15,1.72455072,Medina
26,"2,5-dimethylhexane","1,2-dichloroethane",CC(C)CCC(C)C,ClCCCl,298.15,1.818076778,Medina
27,ethylcyclohexane,"1,2-dichloroethane",CCC1CCCCC1,ClCCCl,298.15,1.597365331,Medina
28,n-Nonane,"1,2-dichloroethane",CCCCCCCCC,ClCCCl,298.15,1.968509981,Medina
29,Benzene,"1,2-dichloroethane",c1ccccc1,ClCCCl,298.15,0.182321557,Medina
30,n-Hexane,"1,2-dicyanoethane",CCCCCC,N#CCCC#N,298.15,5.913503006,Medina
31,Cyclohexane,"1,2-dicyanoethane",C1CCCCC1,N#CCCC#N,298.15,4.882801923,Medina
32,Benzene,"1,2-dicyanoethane",c1ccccc1,N#CCCC#N,298.15,2.028148247,Medina
33,2-methyl-2-butene,"1,2-dicyanoethane",CC=C(C)C,N#CCCC#N,298.15,3.80666249,Medina
34,"2-methyl-1,3-butadiene","1,2-dicyanoethane",C=CC(=C)C,N#CCCC#N,298.15,2.975529566,Medina
35,Cyclohexane,"1,2-diethoxyethane",C1CCCCC1,CCOCCOCC,298.15,0.672944473,Medina
36,Cyclohexane,"1,2-diethoxymethane",C1CCCCC1,CCOCOCC,298.15,0.457424847,Medina
37,Cyclohexane,"1,2-dimethoxyethane",C1CCCCC1,COCCOC,298.15,1.223775432,Medina
38,n-Hexane,"1,3-dichloropropane",CCCCCC,ClCCCCl,298.15,0.78845736,Medina
39,Acetone,"1,3-dichloropropane",CC(C)=O,ClCCCCl,298.15,0.067658648,Medina
40,n-Hexane,"1,3-dicyanopropane",CCCCCC,N#CCCCC#N,298.15,4.616110126,Medina
41,Cyclohexane,"1,3-dicyanopropane",C1CCCCC1,N#CCCCC#N,298.15,3.925925911,Medina
42,Benzene,"1,3-dicyanopropane",c1ccccc1,N#CCCCC#N,298.15,1.46270855,Medina
43,Toluene,"1,3-dicyanopropane",Cc1ccccc1,N#CCCCC#N,298.15,1.648658626,Medina
44,ethylbenzene,"1,3-dicyanopropane",CCc1ccccc1,N#CCCCC#N,298.15,2.116255515,Medina
45,2-methyl-2-butene,"1,3-dicyanopropane",CC=C(C)C,N#CCCCC#N,298.15,3.206803244,Medina
46,"2-methyl-1,3-butadiene","1,3-dicyanopropane",C=CC(=C)C,N#CCCCC#N,298.15,2.388762789,Medina
47,n-Hexane,"1,4-dichlorobutane",CCCCCC,ClCCCCCl,298.15,1.313723668,Medina
48,Acetone,"1,4-dichlorobutane",CC(C)=O,ClCCCCCl,298.15,0.058268908,Medina
49,n-Pentane,"1,4-dicyanobutane",CCCCC,N#CCCCCC#N,298.15,3.5463699765000003,Medina
50,Cyclopentane,"1,4-dicyanobutane",C1CCCC1,N#CCCCCC#N,298.15,2.740840024,Medina
51,2-methylbutane,"1,4-dicyanobutane",CCC(C)C,N#CCCCCC#N,298.15,3.688879454,Medina
52,n-Hexane,"1,4-dicyanobutane",CCCCCC,N#CCCCCC#N,298.15,3.870843387,Medina
53,Cyclohexane,"1,4-dicyanobutane",C1CCCCC1,N#CCCCCC#N,298.15,3.200593623,Medina
54,n-Heptane,"1,4-dicyanobutane",CCCCCCC,N#CCCCCC#N,298.15,4.063885355,Medina
55,Cycloheptane,"1,4-dicyanobutane",C1CCCCCC1,N#CCCCCC#N,298.15,3.292126287,Medina
56,n-Octane,"1,4-dicyanobutane",CCCCCCCC,N#CCCCCC#N,298.15,4.370712875,Medina
57,Cyclooctane,"1,4-dicyanobutane",C1CCCCCCC1,N#CCCCCC#N,298.15,3.523415014,Medina
58,n-Nonane,"1,4-dicyanobutane",CCCCCCCCC,N#CCCCCC#N,298.15,4.700480366,Medina
59,n-Decane,"1,4-dicyanobutane",CCCCCCCCCC,N#CCCCCC#N,298.15,4.976733742,Medina
60,Benzene,"1,4-dicyanobutane",c1ccccc1,N#CCCCCC#N,298.15,0.8870925084285713,Medina
61,Toluene,"1,4-dicyanobutane",Cc1ccccc1,N#CCCCCC#N,298.15,1.280933845,Medina
62,ethylbenzene,"1,4-dicyanobutane",CCc1ccccc1,N#CCCCCC#N,298.15,1.704748092,Medina
63,2-methyl-2-butene,"1,4-dicyanobutane",CC=C(C)C,N#CCCCCC#N,298.15,2.533696814,Medina
64,"2-methyl-1,3-butadiene","1,4-dicyanobutane",C=CC(=C)C,N#CCCCCC#N,298.15,1.731655545,Medina
65,1-hexene,"1,4-dicyanobutane",C=CCCCC,N#CCCCCC#N,298.15,2.928523524,Medina
66,1-heptene,"1,4-dicyanobutane",C=CCCCCC,N#CCCCCC#N,298.15,3.250374492,Medina
67,1-octene,"1,4-dicyanobutane",C=CCCCCCC,N#CCCCCC#N,298.15,3.583518938,Medina
68,1-hexyne,"1,4-dicyanobutane",C#CCCCC,N#CCCCCC#N,298.15,1.526056303,Medina
69,1-heptyne,"1,4-dicyanobutane",C#CCCCCC,N#CCCCCC#N,298.15,1.814824742,Medina
70,1-octyne,"1,4-dicyanobutane",C#CCCCCCC,N#CCCCCC#N,298.15,2.159868791,Medina
71,Cyclohexane,"1,4-dimethylpiperazine",C1CCCCC1,CN1CCN(C)CC1,298.15,0.246860078,Medina
72,n-Heptane,"1,4-dimethylpiperazine",CCCCCCC,CN1CCN(C)CC1,298.15,0.350656872,Medina
73,n-Pentane,"1,4-dioxane",CCCCC,C1COCCO1,298.15,1.668134396,Medina
74,n-Hexane,"1,4-dioxane",CCCCCC,C1COCCO1,298.15,1.8351067176666664,Medina
75,Cyclohexane,"1,4-dioxane",C1CCCCC1,C1COCCO1,298.15,1.5338427876666667,Medina
76,2-methylpentane,"1,4-dioxane",CCCC(C)C,C1COCCO1,298.15,1.824472638,Medina
77,n-Heptane,"1,4-dioxane",CCCCCCC,C1COCCO1,298.15,1.957373698,Medina
78,"2,4-dimethylpentane","1,4-dioxane",CC(C)CC(C)C,C1COCCO1,298.15,1.973440074333333,Medina
79,n-Octane,"1,4-dioxane",CCCCCCCC,C1COCCO1,298.15,2.124527518,Medina
80,"2,3,4-trimethylpentane","1,4-dioxane",CC(C)C(C)C(C)C,C1COCCO1,298.15,1.955776835333333,Medina
81,"2,5-dimethylhexane","1,4-dioxane",CC(C)CCC(C)C,C1COCCO1,298.15,2.141241943,Medina
82,ethylcyclohexane,"1,4-dioxane",CCC1CCCCC1,C1COCCO1,298.15,1.8513177746666667,Medina
83,n-Nonane,"1,4-dioxane",CCCCCCCCC,C1COCCO1,298.15,2.2881586473333333,Medina
84,"2,5-dimethylheptane","1,4-dioxane",CCC(C)CCC(C)C,C1COCCO1,298.15,1.887069649,Medina
85,Toluene,"1,4-dioxane",Cc1ccccc1,C1COCCO1,298.15,0.165514438,Medina
86,Ethanol,"1,4-dioxane",CCO,C1COCCO1,298.15,0.91228271,Medina
87,2-Butanone,"1,4-dioxane",CCC(C)=O,C1COCCO1,298.15,0.223143551,Medina
88,triethylamine,"1,4-dioxane",CCN(CC)CC,C1COCCO1,298.15,1.217875709,Medina
89,n-Hexane,"1,5-dicyanopentane",CCCCCC,N#CCCCCCC#N,298.15,3.417398761,Medina
90,Cyclohexane,"1,5-dicyanopentane",C1CCCCC1,N#CCCCCCC#N,298.15,2.840247371,Medina
91,Benzene,"1,5-dicyanopentane",c1ccccc1,N#CCCCCCC#N,298.15,0.512823626,Medina
92,2-methyl-2-butene,"1,5-dicyanopentane",CC=C(C)C,N#CCCCCCC#N,298.15,2.158714723,Medina
93,"2-methyl-1,3-butadiene","1,5-dicyanopentane",C=CC(=C)C,N#CCCCCCC#N,298.15,1.393766376,Medina
94,n-Pentane,"1,5-Dimethylpyrrolidinone",CCCCC,CC1CCC(=O)N1C,298.15,1.93874166,Medina
95,n-Hexane,"1,5-Dimethylpyrrolidinone",CCCCCC,CC1CCC(=O)N1C,298.15,2.194999882,Medina
96,Cyclohexane,"1,5-Dimethylpyrrolidinone",C1CCCCC1,CC1CCC(=O)N1C,298.15,1.638996715,Medina
97,n-Heptane,"1,5-Dimethylpyrrolidinone",CCCCCCC,CC1CCC(=O)N1C,298.15,2.23644529,Medina
98,n-Octane,"1,5-Dimethylpyrrolidinone",CCCCCCCC,CC1CCC(=O)N1C,298.15,2.406945108,Medina
99,Benzene,"1,5-Dimethylpyrrolidinone",c1ccccc1,CC1CCC(=O)N1C,298.15,-0.116533816,Medina
100,Toluene,"1,5-Dimethylpyrrolidinone",Cc1ccccc1,CC1CCC(=O)N1C,298.15,0.104360015,Medina
101,1-pentene,"1,5-Dimethylpyrrolidinone",C=CCCC,CC1CCC(=O)N1C,298.15,1.401182974,Medina
102,1-hexene,"1,5-Dimethylpyrrolidinone",C=CCCCC,CC1CCC(=O)N1C,298.15,1.560247668,Medina
103,cyclohexene,"1,5-Dimethylpyrrolidinone",C1=CCCCC1,CC1CCC(=O)N1C,298.15,1.124929597,Medina
104,1-heptene,"1,5-Dimethylpyrrolidinone",C=CCCCCC,CC1CCC(=O)N1C,298.15,1.665818246,Medina
105,1-octene,"1,5-Dimethylpyrrolidinone",C=CCCCCCC,CC1CCC(=O)N1C,298.15,1.798404012,Medina
106,Tetrahydrofuran,"1,5-dimethylpyrrolidone",C1CCOC1,CC1CCC(=O)N1C,298.15,0.300104592,Medina
107,methyl tert-butyl ether,"1,5-dimethylpyrrolidone",COC(C)(C)C,CC1CCC(=O)N1C,298.15,0.993251773,Medina
108,ethyl tert-butyl ether,"1,5-dimethylpyrrolidone",CCOC(C)(C)C,CC1CCC(=O)N1C,298.15,1.337629189,Medina
109,tert-Amyl methyl ether,"1,5-dimethylpyrrolidone",CCC(C)(C)OC,CC1CCC(=O)N1C,298.15,1.111857515,Medina
110,Diethyl ether,"1,5-dimethylpyrrolidone",CCOCC,CC1CCC(=O)N1C,298.15,0.978326123,Medina
111,Di-iso-propyl ether,"1,5-dimethylpyrrolidone",CC(C)OC(C)C,CC1CCC(=O)N1C,298.15,1.470175845,Medina
112,Acetone,"1,5-dimethylpyrrolidone",CC(C)=O,CC1CCC(=O)N1C,298.15,0.048790164,Medina
113,2-Butanone,"1,5-dimethylpyrrolidone",CCC(C)=O,CC1CCC(=O)N1C,298.15,0.067658648,Medina
114,2-Pentanone,"1,5-dimethylpyrrolidone",CCCC(C)=O,CC1CCC(=O)N1C,298.15,0.131028262,Medina
115,Acetaldehyde,"1,5-dimethylpyrrolidone",CC=O,CC1CCC(=O)N1C,298.15,0.039220713,Medina
116,n-Hexane,"1,6-dicyanohexane",CCCCCC,N#CCCCCCCC#N,298.15,2.344686269,Medina
117,Cyclohexane,"1,6-dicyanohexane",C1CCCCC1,N#CCCCCCCC#N,298.15,1.809926773,Medina
118,Benzene,"1,6-dicyanohexane",c1ccccc1,N#CCCCCCCC#N,298.15,0.418623762,Medina
119,Toluene,"1,6-dicyanohexane",Cc1ccccc1,N#CCCCCCCC#N,298.15,0.587786665,Medina
120,ethylbenzene,"1,6-dicyanohexane",CCc1ccccc1,N#CCCCCCCC#N,298.15,0.875468737,Medina
121,2-methyl-2-butene,"1,6-dicyanohexane",CC=C(C)C,N#CCCCCCCC#N,298.15,1.549687908,Medina
122,"2-methyl-1,3-butadiene","1,6-dicyanohexane",C=CC(=C)C,N#CCCCCCCC#N,298.15,0.815364813,Medina
123,Methanol,1-butanol,CO,CCCCO,298.15,0.148420005,Medina
124,Ethanol,1-butanol,CCO,CCCCO,298.15,-0.021505946,Medina
125,"1,4-Dioxane",1-butanol,C1COCCO1,CCCCO,298.15,0.88376754,Medina
126,Diethyl ether,1-butanol,CCOCC,CCCCO,298.15,0.698134722,Medina
127,Acetone,1-butanol,CC(C)=O,CCCCO,298.15,0.862809833,Medina
128,2-Butanone,1-butanol,CCC(C)=O,CCCCO,298.15,0.803236762,Medina
129,1-Chloropropane,1-butanol,CCCCl,CCCCO,298.15,1.040276712,Medina
130,Dichloromethane,1-butanol,ClCCl,CCCCO,298.15,0.651456377,Medina
131,Chloroform,1-butanol,ClC(Cl)Cl,CCCCO,298.15,0.222342911,Medina
132,Tetrachloromethane,1-butanol,ClC(Cl)(Cl)Cl,CCCCO,298.15,0.966983846,Medina
133,1-bromoethane,1-butanol,CCBr,CCCCO,298.15,0.963174318,Medina
134,Propionitrile,1-butanol,CCC#N,CCCCO,298.15,1.621366483,Medina
135,perfluoroheptane,1-butanol,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCO,298.15,5.703782475,Medina
136,Iodoethane,1-butanol,CCI,CCCCO,298.15,1.214912744,Medina
137,triethylamine,1-butanol,CCN(CC)CC,CCCCO,298.15,-0.174353387,Medina
138,Carbon disulfide,1-butanol,S=C=S,CCCCO,298.15,1.124929597,Medina
139,n-Pentane,1-chlorobutane,CCCCC,CCCCCl,298.15,0.418710335,Medina
140,n-Hexane,1-chlorobutane,CCCCCC,CCCCCl,298.15,0.536493371,Medina
141,Cyclohexane,1-chlorobutane,C1CCCCC1,CCCCCl,298.15,0.476234179,Medina
142,Benzene,1-chlorobutane,c1ccccc1,CCCCCl,298.15,0.019802627,Medina
143,Toluene,1-chlorobutane,Cc1ccccc1,CCCCCl,298.15,0.048790164,Medina
144,Acetone,1-chlorobutane,CC(C)=O,CCCCCl,298.15,0.527643582,Medina
145,Chlorobenzene,1-chlorohexadecane,Clc1ccccc1,CCCCCCCCCCCCCCCCCl,298.15,-0.223143551,Medina
146,Acetone,1-chloropentane,CC(C)=O,CCCCCCl,298.15,0.593326845,Medina
147,n-Pentane,1-decene,CCCCC,C=CCCCCCCCC,298.15,-0.072570693,Medina
148,n-Hexane,1-decene,CCCCCC,C=CCCCCCCCC,298.15,-0.15082289,Medina
149,Cyclohexane,1-decene,C1CCCCC1,C=CCCCCCCCC,298.15,-0.051293294,Medina
150,2-methylpentane,1-decene,CCCC(C)C,C=CCCCCCCCC,298.15,0.0,Medina
151,n-Heptane,1-decene,CCCCCCC,C=CCCCCCCCC,298.15,0.0,Medina
152,"2,4-dimethylpentane",1-decene,CC(C)CC(C)C,C=CCCCCCCCC,298.15,0.048790164,Medina
153,n-Octane,1-decene,CCCCCCCC,C=CCCCCCCCC,298.15,0.029558802,Medina
154,"2,3,4-trimethylpentane",1-decene,CC(C)C(C)C(C)C,C=CCCCCCCCC,298.15,0.029558802,Medina
155,"2,5-dimethylhexane",1-decene,CC(C)CCC(C)C,C=CCCCCCCCC,298.15,0.058268908,Medina
156,ethylcyclohexane,1-decene,CCC1CCCCC1,C=CCCCCCCCC,298.15,0.0,Medina
157,n-Nonane,1-decene,CCCCCCCCC,C=CCCCCCCCC,298.15,0.086177696,Medina
158,Ethyl acetate,1-heptene,CCOC(C)=O,C=CCCCCC,298.15,0.88376754,Medina
159,Butyl Acetate,1-heptene,CCCCOC(C)=O,C=CCCCCC,298.15,0.683096845,Medina
160,Acetonitrile,1-heptene,CC#N,C=CCCCCC,298.15,2.989714201,Medina
161,Propionitrile,1-heptene,CCC#N,C=CCCCCC,298.15,2.446685437,Medina
162,nitromethane,1-heptene,C[N+](=O)[O-],C=CCCCCC,298.15,3.11927646,Medina
163,1-Chloropropane,1-hexadecene,CCCCl,C=CCCCCCCCCCCCCCC,298.15,0.09531018,Medina
164,1-Chlorobutane,1-hexadecene,CCCCCl,C=CCCCCCCCCCCCCCC,298.15,0.09531018,Medina
165,n-Pentane,1-hexene,CCCCC,C=CCCCC,298.15,0.029558802,Medina
166,n-Hexane,1-hexene,CCCCCC,C=CCCCC,298.15,0.09531018,Medina
167,Cyclohexane,1-hexene,C1CCCCC1,C=CCCCC,298.15,0.19062036,Medina
168,2-methylpentane,1-hexene,CCCC(C)C,C=CCCCC,298.15,0.067658648,Medina
169,n-Heptane,1-hexene,CCCCCCC,C=CCCCC,298.15,0.131028262,Medina
170,"2,4-dimethylpentane",1-hexene,CC(C)CC(C)C,C=CCCCC,298.15,0.198850859,Medina
171,n-Octane,1-hexene,CCCCCCCC,C=CCCCC,298.15,0.165514438,Medina
172,"2,3,4-trimethylpentane",1-hexene,CC(C)C(C)C(C)C,C=CCCCC,298.15,0.157003749,Medina
173,"2,5-dimethylhexane",1-hexene,CC(C)CCC(C)C,C=CCCCC,298.15,0.139761942,Medina
174,ethylcyclohexane,1-hexene,CCC1CCCCC1,C=CCCCC,298.15,0.250751148,Medina
175,n-Nonane,1-hexene,CCCCCCCCC,C=CCCCC,298.15,0.139761942,Medina
176,Chlorobenzene,1-iodohexadecane,Clc1ccccc1,CCCCCCCCCCCCCCCCI,298.15,-0.223143551,Medina
177,n-Pentane,1-methylnaphthalene,CCCCC,Cc1cccc2ccccc12,298.15,1.115141591,Medina
178,n-Hexane,1-methylnaphthalene,CCCCCC,Cc1cccc2ccccc12,298.15,1.095273387,Medina
179,Cyclohexane,1-methylnaphthalene,C1CCCCC1,Cc1cccc2ccccc12,298.15,0.792992516,Medina
180,Benzene,1-methylnaphthalene,c1ccccc1,Cc1cccc2ccccc12,298.15,0.21511138,Medina
181,2-methyl-2-butene,1-methylnaphthalene,CC=C(C)C,Cc1cccc2ccccc12,298.15,0.797507196,Medina
182,"2-methyl-1,3-butadiene",1-methylnaphthalene,C=CC(=C)C,Cc1cccc2ccccc12,298.15,0.518793793,Medina
183,n-Pentane,1-nitropropane,CCCCC,CCC[N+](=O)[O-],298.15,1.6600579396666666,Medina
184,2-methylbutane,1-nitropropane,CCC(C)C,CCC[N+](=O)[O-],298.15,1.648658626,Medina
185,n-Hexane,1-nitropropane,CCCCCC,CCC[N+](=O)[O-],298.15,1.8458189106666667,Medina
186,Cyclohexane,1-nitropropane,C1CCCCC1,CCC[N+](=O)[O-],298.15,1.4901569626666669,Medina
187,2-methylpentane,1-nitropropane,CCCC(C)C,CCC[N+](=O)[O-],298.15,1.902107526,Medina
188,n-Heptane,1-nitropropane,CCCCCCC,CCC[N+](=O)[O-],298.15,2.149433913,Medina
189,"2,4-dimethylpentane",1-nitropropane,CC(C)CC(C)C,CCC[N+](=O)[O-],298.15,2.048982334,Medina
190,n-Octane,1-nitropropane,CCCCCCCC,CCC[N+](=O)[O-],298.15,2.360854001,Medina
191,"2,3,4-trimethylpentane",1-nitropropane,CC(C)C(C)C(C)C,CCC[N+](=O)[O-],298.15,2.112634509,Medina
192,"2,5-dimethylhexane",1-nitropropane,CC(C)CCC(C)C,CCC[N+](=O)[O-],298.15,2.194999882,Medina
193,ethylcyclohexane,1-nitropropane,CCC1CCCCC1,CCC[N+](=O)[O-],298.15,2.098017927,Medina
194,n-Nonane,1-nitropropane,CCCCCCCCC,CCC[N+](=O)[O-],298.15,2.542389085,Medina
195,Benzene,1-nitropropane,c1ccccc1,CCC[N+](=O)[O-],298.15,0.029558802,Medina
196,2-methyl-2-butene,1-nitropropane,CC=C(C)C,CCC[N+](=O)[O-],298.15,1.064710737,Medina
197,"2-methyl-1,3-butadiene",1-nitropropane,C=CC(=C)C,CCC[N+](=O)[O-],298.15,0.604315967,Medina
198,Ethanol,1-octanol,CCO,CCCCCCCCO,298.15,0.131028262,Medina
199,Ethyl acetate,1-octanol,CCOC(C)=O,CCCCCCCCO,298.15,0.850150929,Medina
200,"1,4-Dioxane",1-octanol,C1COCCO1,CCCCCCCCO,298.15,0.693147181,Medina
201,Acetone,1-octanol,CC(C)=O,CCCCCCCCO,298.15,0.928219303,Medina
202,2-Butanone,1-octanol,CCC(C)=O,CCCCCCCCO,298.15,0.737164066,Medina
203,Dichloromethane,1-octanol,ClCCl,CCCCCCCCO,298.15,0.4468020563333333,Medina
204,"1,1-dichloroethane",1-octanol,CC(Cl)Cl,CCCCCCCCO,298.15,0.698134722,Medina
205,"1,2-dichloroethane",1-octanol,ClCCCl,CCCCCCCCO,298.15,0.985816795,Medina
206,"1,2-dichloropropane",1-octanol,CC(Cl)CCl,CCCCCCCCO,298.15,0.947789399,Medina
207,Chloroform,1-octanol,ClC(Cl)Cl,CCCCCCCCO,298.15,-0.003896013,Medina
208,"1,1,1-trichloroethane",1-octanol,CC(Cl)(Cl)Cl,CCCCCCCCO,298.15,0.683096845,Medina
209,"1,1,2-trichloroethane",1-octanol,ClCC(Cl)Cl,CCCCCCCCO,298.15,0.624664253,Medina
210,Tetrachloromethane,1-octanol,ClC(Cl)(Cl)Cl,CCCCCCCCO,298.15,0.583652075,Medina
211,1-bromoethane,1-octanol,CCBr,CCCCCCCCO,298.15,0.678033543,Medina
212,Dibromomethane,1-octanol,BrCBr,CCCCCCCCO,298.15,0.765467842,Medina
213,chlorodibromomethane,1-octanol,ClC(Br)Br,CCCCCCCCO,298.15,0.751416089,Medina
214,Propionitrile,1-octanol,CCC#N,CCCCCCCCO,298.15,1.816452082,Medina
215,Iodoethane,1-octanol,CCI,CCCCCCCCO,298.15,0.815364813,Medina
216,Carbon disulfide,1-octanol,S=C=S,CCCCCCCCO,298.15,0.548121409,Medina
217,n-Pentane,1-octene,CCCCC,C=CCCCCCC,298.15,-0.030459207,Medina
218,n-Hexane,1-octene,CCCCCC,C=CCCCCCC,298.15,0.019802627,Medina
219,Cyclohexane,1-octene,C1CCCCC1,C=CCCCCCC,298.15,0.039220713,Medina
220,2-methylpentane,1-octene,CCCC(C)C,C=CCCCCCC,298.15,0.039220713,Medina
221,n-Heptane,1-octene,CCCCCCC,C=CCCCCCC,298.15,0.048790164,Medina
222,"2,4-dimethylpentane",1-octene,CC(C)CC(C)C,C=CCCCCCC,298.15,0.067658648,Medina
223,n-Octane,1-octene,CCCCCCCC,C=CCCCCCC,298.15,0.122217633,Medina
224,"2,3,4-trimethylpentane",1-octene,CC(C)C(C)C(C)C,C=CCCCCCC,298.15,0.067658648,Medina
225,"2,5-dimethylhexane",1-octene,CC(C)CCC(C)C,C=CCCCCCC,298.15,0.086177696,Medina
226,ethylcyclohexane,1-octene,CCC1CCCCC1,C=CCCCCCC,298.15,0.113328685,Medina
227,n-Nonane,1-octene,CCCCCCCCC,C=CCCCCCC,298.15,0.173953307,Medina
228,Ethanol,1-pentanol,CCO,CCCCCO,298.15,0.076961041,Medina
229,Acetone,1-pentanol,CC(C)=O,CCCCCO,298.15,0.940007258,Medina
230,2-Butanone,1-pentanol,CCC(C)=O,CCCCCO,298.15,0.904218151,Medina
231,Dichloromethane,1-pentanol,ClCCl,CCCCCO,298.15,0.802001585,Medina
232,Chloroform,1-pentanol,ClC(Cl)Cl,CCCCCO,298.15,0.412109651,Medina
233,Ethanol,1-propanol,CCO,CCCO,298.15,-0.083381609,Medina
234,"1,4-Dioxane",1-propanol,C1COCCO1,CCCO,298.15,0.88376754,Medina
235,2-Butanone,1-propanol,CCC(C)=O,CCCO,298.15,0.824175443,Medina
236,perfluorohexane,1-propanol,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCO,298.15,5.416100402,Medina
237,perfluoroheptane,1-propanol,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCO,298.15,5.991464547,Medina
238,triethylamine,1-propanol,CCN(CC)CC,CCCO,298.15,-0.105360516,Medina
239,Cyclohexane,2-(Diethylamino)ethylamine,C1CCCCC1,CCN(CC)CCN,298.15,0.625938431,Medina
240,n-Heptane,2-(Diethylamino)ethylamine,CCCCCCC,CCN(CC)CCN,298.15,0.688134639,Medina
241,n-Pentane,"2,2,4-trimethylpentane",CCCCC,CC(C)CC(C)(C)C,298.15,-0.094552255,Medina
242,n-Hexane,"2,2,4-trimethylpentane",CCCCCC,CC(C)CC(C)(C)C,298.15,-0.010509684,Medina
243,Cyclohexane,"2,2,4-trimethylpentane",C1CCCCC1,CC(C)CC(C)(C)C,298.15,0.058268908,Medina
244,2-methylpentane,"2,2,4-trimethylpentane",CCCC(C)C,CC(C)CC(C)(C)C,298.15,-0.015435832,Medina
245,n-Heptane,"2,2,4-trimethylpentane",CCCCCCC,CC(C)CC(C)(C)C,298.15,0.067658648,Medina
246,"2,4-dimethylpentane","2,2,4-trimethylpentane",CC(C)CC(C)C,CC(C)CC(C)(C)C,298.15,0.019369914,Medina
247,n-Octane,"2,2,4-trimethylpentane",CCCCCCCC,CC(C)CC(C)(C)C,298.15,0.054461118,Medina
248,"2,3,4-trimethylpentane","2,2,4-trimethylpentane",CC(C)C(C)C(C)C,CC(C)CC(C)(C)C,298.15,0.048381834,Medina
249,"2,5-dimethylhexane","2,2,4-trimethylpentane",CC(C)CCC(C)C,CC(C)CC(C)(C)C,298.15,0.058268908,Medina
250,ethylcyclohexane,"2,2,4-trimethylpentane",CCC1CCCCC1,CC(C)CC(C)(C)C,298.15,0.152269595,Medina
