,MAE
"('WATER', '2:3-D-01')",21.2218606204962
"('WATER', '2-MET-06')",19.65806848914841
"('WATER', 'DIBUT-02')",16.112904292251475
"('WATER', 'DODEC-01')",13.350579295574475
"('WATER', 'GAMMA-01')",9.393197990037907
"('WATER', '1:2:2-01')",95.57368812899637
"('WATER', '1-MET-01')",27.828541598874136
"('WATER', 'FLUOR-01')",13.31664989916373
"('WATER', 'CYCLO-07')",18.640872526838034
"('WATER', '1:2-D-02')",3.2125169800889894
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",223.85160490669784
"('WATER', 'BUTYL-01')",18.019832045153073
"('WATER', 'ACETA-02')",5.735142244821799
"('WATER', '1-CHL-02')",17.05970593195088
"('WATER', 'N-PRO-02')",20.94682187233919
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",8.478974279213226
"('WATER', '1-NIT-01')",9.124945587109604
"('WATER', 'ETHYL-07')",19.83072218513364
"('WATER', 'ISOBU-02')",20.89365534002831
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",38.71590722866274
"('WATER', '1-HEX-03')",9.547019475607618
"('WATER', '1:3-B-01')",21.758100810586047
"('WATER', 'BIS-C-01')",19.83481882531051
"('WATER', 'CAPRO-01')",10.935681029964417
"('WATER', 'CYCLO-08')",8.86644192471036
"('WATER', 'CYCLO-09')",22.250511019622305
"('WATER', '1-BUT-01')",20.3954681402114
"('WATER', 'GLUTA-01')",12.61545574030922
"('WATER', 'DIISO-02')",43.5948051038179
"('WATER', 'PROPA-01')",20.04725769202611
"('WATER', '1-TET-01')",34.15917518646893
"('WATER', '1-EIC-01')",28.323815542916513
"('WATER', 'BENZY-01')",19.92970305239968
"('WATER', 'TRANS-02')",20.007648296508684
"('WATER', 'N-BUT-04')",5.731343566230155
"('WATER', 'ISOPR-02')",20.176431172979896
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",12.34173131935257
"('WATER', 'ISOBU-03')",21.55908303994845
"('WATER', '1-DEC-01')",26.92076894610288
"('WATER', 'DIOCT-01')",31.000875464469363
"('WATER', 'ADIPO-01')",15.073421337212151
"('WATER', '2-MET-07')",2.2207924967470776
"('WATER', '1-OCT-04')",36.5971603513655
"('WATER', '2:2-D-02')",
"('WATER', 'N-BUT-05')",4.065668076991206
"('WATER', 'M-CRE-01')",13.476449734434535
"('WATER', '1-HEP-02')",
"('WATER', 'TERT--03')",11.010444341015926
"('WATER', 'BENZY-02')",15.73947779607227
"('WATER', '3-MET-04')",21.10867427266873
"('WATER', '2-BUT-02')",
"('WATER', '2:2:4-02')",
"('WATER', 'CIS-D-01')",24.91238500721178
"('WATER', '1-ETH-01')",
"('WATER', 'D-LIM-01')",23.09554378685315
"('WATER', '2-NIT-01')",7.6942335732916
"('N-HEX-01', 'BENZE-01')",0.22966713178321654
"('N-HEX-01', 'N-HEP-01')",0.1188241424529333
"('N-HEX-01', 'CYCLO-01')",0.21791903845305766
"('N-HEX-01', 'N-OCT-01')",0.3726806933227825
"('N-HEX-01', 'TOLUE-01')",0.39342533456453993
"('N-HEX-01', 'METHY-02')",0.5185905180512427
"('N-HEX-01', '1-HEX-01')",0.0927943494425758
"('N-HEX-01', 'ETHYL-01')",0.6460756870905392
"('N-HEX-01', 'N-PEN-01')",0.15320517023107785
"('N-HEX-01', '1-HEP-01')",0.0856251466827558
"('N-HEX-01', 'ETHAN-01')",2.2402572691429787
"('N-HEX-01', 'METHA-01')",3.3772162090249203
"('N-HEX-01', '1-OCT-01')",0.2703999623541275
"('N-HEX-01', 'N-NON-01')",0.7195658311518771
"('N-HEX-01', 'CYCLO-02')",0.35254608189145437
"('N-HEX-01', 'METHY-01')",0.5413470807691421
"('N-HEX-01', 'ACETO-01')",0.8170616633308804
"('N-HEX-01', 'ETHYL-02')",0.515288583155658
"('N-HEX-01', 'N-HEX-02')",3.176315073483058
"('N-HEX-01', 'SQUAL-01')",8.210867118016582
"('N-HEX-01', 'CHLOR-01')",0.10776761282296214
"('N-HEX-01', 'N-BUT-01')",2.0224715268386655
"('N-HEX-01', 'CARBO-01')",0.10471616165574948
"('N-HEX-01', 'ETHYL-03')",1.7672477640479873
"('N-HEX-01', '1-PRO-01')",1.5317781499039835
"('N-HEX-01', 'ACETO-02')",2.5840452493903387
"('N-HEX-01', 'P-XYL-01')",0.8747195396929893
"('N-HEX-01', 'M-XYL-01')",1.4925585718554406
"('N-HEX-01', 'ISOPR-01')",1.4935889997094438
"('N-HEX-01', '2-MET-01')",0.38146840461887066
"('N-HEX-01', '2-MET-02')",0.06292454840740386
"('N-HEX-01', '2:2:4-01')",0.20947813542029778
"('N-HEX-01', '2-MET-03')",0.1346806138973875
"('N-HEX-01', 'O-XYL-01')",1.8905750123987524
"('N-HEX-01', 'DICHL-01')",0.9579457555478865
"('N-HEX-01', '1:2-D-01')",1.0732832440521212
"('N-HEX-01', '2:4-D-01')",0.15613916789038626
"('N-HEX-01', '1-OCT-02')",6.094466390205634
"('N-HEX-01', '2-MET-04')",0.3278542761521762
"('N-HEX-01', 'SULFO-01')",25.666940374629597
"('N-HEX-01', 'CYCLO-03')",0.06356037583251153
"('N-HEX-01', '2:3:4-01')",0.2874448353118381
"('N-HEX-01', 'TETRA-01')",0.7847253539197022
"('N-HEX-01', 'NITRO-01')",5.19227700026127
"('N-HEX-01', '1:4-D-01')",0.8568911629360901
"('N-HEX-01', 'N-PRO-01')",0.6211848603076248
"('N-HEX-01', 'N-DEC-01')",1.0235643946392738
"('N-HEX-01', 'N:N-D-01')",6.64821788304054
"('N-HEX-01', 'CHLOR-02')",2.5928475356456224
"('N-HEX-01', 'N-OCT-02')",3.9871200086260754
"('N-HEX-01', '2:5-D-01')",0.2112100736821714
"('N-HEX-01', 'METHY-03')",1.307792354316532
"('N-HEX-01', '1-CHL-01')",1.042423004567091
"('N-HEX-01', 'DI-N--01')",3.95679951529655
"('N-HEX-01', 'DIMET-02')",14.51229087657353
"('N-HEX-01', 'DIETH-02')",0.8839039689655712
"('N-HEX-01', 'DIBUT-01')",4.936510582356935
"('N-HEX-01', 'N-BUT-02')",1.4186817174294022
"('N-HEX-01', 'TRIPH-01')",8.900085821491592
"('N-HEX-01', '1-PEN-01')",2.985276352006102
"('N-HEX-01', 'PROPY-01')",1.4690699319599436
"('N-HEX-01', 'N:N-D-02')",7.729954660498937
"('N-HEX-01', 'ETHYL-04')",28.817751076159897
"('N-HEX-01', 'PROPI-01')",2.515458859803249
"('N-HEX-01', 'N-OCT-03')",7.148246592054592
"('N-HEX-01', '4-FOR-01')",133.799269191021
"('N-HEX-01', 'N-TET-01')",6.322742928119911
"('N-HEX-01', 'METHY-04')",0.1150097272112012
"('N-HEX-01', 'METHY-05')",6.871766876599872
"('N-HEX-01', 'N-EIC-01')",4.910276286667951
"('N-HEX-01', 'N-MET-02')",13.016697147147937
"('N-HEX-01', 'PYRID-02')",1.651780421230018
"('N-HEX-01', 'DIISO-01')",0.5579944309382364
"('N-HEX-01', '1-TRA-01')",0.9115489083805296
"('N-HEX-01', 'METHY-06')",1.0291526508985396
"('N-HEX-01', 'ANILI-01')",10.695816236398045
"('N-HEX-01', '1-PEN-02')",1.2701104273947446
"('N-HEX-01', 'NITRO-02')",7.969545363082582
"('N-HEX-01', 'TERT--01')",0.2957360258374887
"('N-HEX-01', 'TETRA-02')",12.023822299849716
"('N-HEX-01', 'TRIET-02')",0.05524768665727055
"('N-HEX-01', '2-BUT-01')",0.8376814190446937
"('N-HEX-01', 'N-MET-03')",17.54927459692032
"('N-HEX-01', 'ISOBU-01')",1.6014151354728188
"('N-HEX-01', 'METHY-07')",0.724648641493781
"('N-HEX-01', 'ETHYL-05')",1.3200962679043542
"('N-HEX-01', 'ETHYL-06')",1.1579162693096874
"('N-HEX-01', 'METHY-08')",0.8099448991035573
"('N-HEX-01', 'PROPY-02')",17.549285773987442
"('N-HEX-01', 'METHY-09')",1.0224496887964476
"('N-HEX-01', 'N-BUT-03')",0.4037816720990956
"('N-HEX-01', '1-HEX-02')",5.865374718372845
"('N-HEX-01', '2-PYR-01')",15.485228853119265
"('N-HEX-01', 'N-TRI-01')",8.542107739643162
"('N-HEX-01', 'QUINO-01')",13.494861880651728
"('N-HEX-01', 'DIETH-04')",3.536972870590406
"('N-HEX-01', 'TRI-N-01')",19.37540739703466
"('N-HEX-01', 'CYCLO-04')",0.7647402700148008
"('N-HEX-01', '3-MET-01')",0.22146747309521989
"('N-HEX-01', 'TRICH-01')",0.1400281484899008
"('N-HEX-01', 'CYCLO-05')",5.246449524886513
"('N-HEX-01', 'N-HEX-03')",7.083122966786834
