,MAPE
"('WATER', 'LACTI-01')",3.2196992415335903
"('WATER', 'PHENA-01')",2.963418877948635
"('WATER', '2:3-D-01')",4.21077426858101
"('WATER', '2-MET-06')",4.511266461105161
"('WATER', 'DIBUT-02')",4.330278448294301
"('WATER', 'DODEC-01')",3.633133958045329
"('WATER', 'GAMMA-01')",1.793660468042578
"('WATER', '1:2:2-01')",21.268879489733532
"('WATER', '1-MET-01')",4.799679712971608
"('WATER', 'FLUOR-01')",2.5940693753659456
"('WATER', 'CYCLO-07')",3.3085505321637987
"('WATER', '1:2-D-02')",1.1483677076411236
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",36.40491254763406
"('WATER', 'BUTYL-01')",3.318735261221832
"('WATER', 'ACETA-02')",1.3613720324762617
"('WATER', '1-CHL-02')",3.081584391054311
"('WATER', 'N-PRO-02')",3.7368381500627574
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",1.8776429159047963
"('WATER', '1-NIT-01')",2.073859714148333
"('WATER', 'ETHYL-07')",3.8464356284861974
"('WATER', 'ISOBU-02')",5.004922364626948
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",7.343209573524789
"('WATER', '1-HEX-03')",2.804111601142406
"('WATER', '1:3-B-01')",5.437823127258815
"('WATER', 'BIS-C-01')",4.151891182204251
"('WATER', 'CAPRO-01')",2.4857059537108546
"('WATER', 'CYCLO-08')",2.361518330081055
"('WATER', 'CYCLO-09')",3.901592997847577
"('WATER', '1-BUT-01')",4.820753288216146
"('WATER', 'GLUTA-01')",3.1172963184257148
"('WATER', 'DIISO-02')",7.441071408694078
"('WATER', 'PROPA-01')",4.948592015586138
"('WATER', '1-TET-01')",5.845610872680615
"('WATER', '1-EIC-01')",6.498187552160519
"('WATER', 'BENZY-01')",3.8750851445927945
"('WATER', 'TRANS-02')",4.74142245348803
"('WATER', 'N-BUT-04')",1.283515085018729
"('WATER', 'ISOPR-02')",3.600715413686198
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",5.284052187025144
"('WATER', 'ISOBU-03')",5.117082679192397
"('WATER', '1-DEC-01')",4.760799505628813
"('WATER', 'DIOCT-01')",5.789342966927447
"('WATER', 'ADIPO-01')",3.1519256137898783
"('WATER', '2-MET-07')",1.1530579553069022
"('WATER', '1-OCT-04')",6.896593347376085
"('WATER', '2:2-D-02')",
