,MAPE
"('WATER', 'LACTI-01')",0.5851465524504648
"('WATER', 'PHENA-01')",6.739305274004291
"('WATER', '2:3-D-01')",6.303077230928275
"('WATER', '2-MET-06')",6.041671967822889
"('WATER', 'DIBUT-02')",3.475957299716025
"('WATER', 'DODEC-01')",3.061028124002076
"('WATER', 'GAMMA-01')",2.40441727024629
"('WATER', '1:2:2-01')",22.856329554184754
"('WATER', '1-MET-01')",6.574703724981762
"('WATER', 'FLUOR-01')",3.805527537247408
"('WATER', 'CYCLO-07')",5.136720214279081
"('WATER', '1:2-D-02')",0.9175374359950084
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",37.10486835557011
"('WATER', 'BUTYL-01')",4.820857516431421
"('WATER', 'ACETA-02')",1.8068475444321659
"('WATER', '1-CHL-02')",4.749352019945623
"('WATER', 'N-PRO-02')",5.492608982650415
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",2.4098854320860648
"('WATER', '1-NIT-01')",2.4355313502103586
"('WATER', 'ETHYL-07')",4.834725542088127
"('WATER', 'ISOBU-02')",6.77043435404501
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",8.370011216134504
"('WATER', '1-HEX-03')",2.4642844921492784
"('WATER', '1:3-B-01')",6.943683695662606
"('WATER', 'BIS-C-01')",4.235370288167476
"('WATER', 'CAPRO-01')",2.5663357781872356
"('WATER', 'CYCLO-08')",2.2651482484992536
"('WATER', 'CYCLO-09')",5.916835131656637
"('WATER', '1-BUT-01')",6.591829019810472
"('WATER', 'GLUTA-01')",2.6879686452110536
"('WATER', 'DIISO-02')",8.666365213067044
"('WATER', 'PROPA-01')",6.79992495763523
"('WATER', '1-TET-01')",7.735753807983089
"('WATER', '1-EIC-01')",6.269412473447199
"('WATER', 'BENZY-01')",5.07692587014189
"('WATER', 'TRANS-02')",6.409867652756815
"('WATER', 'N-BUT-04')",1.6398634336472973
"('WATER', 'ISOPR-02')",5.332448749635681
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",2.885975355579604
"('WATER', 'ISOBU-03')",7.05332046086761
"('WATER', '1-DEC-01')",6.995493872700415
"('WATER', 'DIOCT-01')",6.767123241406376
"('WATER', 'ADIPO-01')",3.1390891021779415
"('WATER', '2-MET-07')",0.6102097167889434
"('WATER', '1-OCT-04')",8.2875570063969
"('WATER', '2:2-D-02')",
"('WATER', 'N-BUT-05')",1.133780516071561
"('WATER', 'M-CRE-01')",3.2552067197537906
"('WATER', '1-HEP-02')",
"('WATER', 'TERT--03')",3.186324300755889
"('WATER', 'BENZY-02')",3.8270044758623527
"('WATER', '3-MET-04')",6.608728484651804
"('WATER', '2-BUT-02')",
"('WATER', '2:2:4-02')",
"('WATER', 'CIS-D-01')",6.281418426945663
"('WATER', '1-ETH-01')",
"('WATER', 'D-LIM-01')",5.969561766692145
"('WATER', '2-NIT-01')",2.0930253148212326
"('N-HEX-01', 'BENZE-01')",0.06688204624693742
"('N-HEX-01', 'N-HEP-01')",0.03343422945500155
"('N-HEX-01', 'CYCLO-01')",0.06267447150081519
"('N-HEX-01', 'N-OCT-01')",0.10089826740937262
"('N-HEX-01', 'TOLUE-01')",0.10988263848054929
"('N-HEX-01', 'METHY-02')",0.14505487153987076
"('N-HEX-01', '1-HEX-01')",0.027356328063439846
"('N-HEX-01', 'ETHYL-01')",0.17357240313195482
"('N-HEX-01', 'N-PEN-01')",0.04700391564109888
"('N-HEX-01', '1-HEP-01')",0.024269895983774128
"('N-HEX-01', 'ETHAN-01')",0.6692199032248656
"('N-HEX-01', 'METHA-01')",1.0358373773847585
"('N-HEX-01', '1-OCT-01')",0.07376468514601187
"('N-HEX-01', 'N-NON-01')",0.18866176400619838
"('N-HEX-01', 'CYCLO-02')",0.10124456977610141
"('N-HEX-01', 'METHY-01')",0.15977911257365182
"('N-HEX-01', 'ACETO-01')",0.2490015038795066
"('N-HEX-01', 'ETHYL-02')",0.15166058747415706
"('N-HEX-01', 'N-HEX-02')",0.6796922429198818
"('N-HEX-01', 'SQUAL-01')",1.429588483966719
"('N-HEX-01', 'CHLOR-01')",0.032174636632892266
"('N-HEX-01', 'N-BUT-01')",0.5614951843149465
"('N-HEX-01', 'CARBO-01')",0.03037394804807763
"('N-HEX-01', 'ETHYL-03')",0.47455290345088336
"('N-HEX-01', '1-PRO-01')",0.44045173862006115
"('N-HEX-01', 'ACETO-02')",0.7702148053316468
"('N-HEX-01', 'P-XYL-01')",0.23449441826339065
"('N-HEX-01', 'M-XYL-01')",0.3988162706888009
"('N-HEX-01', 'ISOPR-01')",0.44055168202232037
"('N-HEX-01', '2-MET-01')",0.11783040385297397
"('N-HEX-01', '2-MET-02')",0.018594347698143554
"('N-HEX-01', '2:2:4-01')",0.05855625236394792
"('N-HEX-01', '2-MET-03')",0.041033751200085684
"('N-HEX-01', 'O-XYL-01')",0.5019396726048174
"('N-HEX-01', 'DICHL-01')",0.2964187431079427
"('N-HEX-01', '1:2-D-01')",0.31206889735805526
"('N-HEX-01', '2:4-D-01')",0.044958634534180156
"('N-HEX-01', '1-OCT-02')",1.555287193081629
"('N-HEX-01', '2-MET-04')",0.10209600659002523
"('N-HEX-01', 'SULFO-01')",6.077079784975572
"('N-HEX-01', 'CYCLO-03')",0.01921139501746407
"('N-HEX-01', '2:3:4-01')",0.0793644737994625
"('N-HEX-01', 'TETRA-01')",0.23215268327284705
"('N-HEX-01', 'NITRO-01')",1.5035835200059087
"('N-HEX-01', '1:4-D-01')",0.24055875112315583
"('N-HEX-01', 'N-PRO-01')",0.17659498873564444
"('N-HEX-01', 'N-DEC-01')",0.2579129122242209
"('N-HEX-01', 'N:N-D-01')",1.7574798615129248
"('N-HEX-01', 'CHLOR-02')",0.7027581080694861
"('N-HEX-01', 'N-OCT-02')",0.825624338636274
"('N-HEX-01', '2:5-D-01')",0.05856733868789824
"('N-HEX-01', 'METHY-03')",0.39685944574518417
"('N-HEX-01', '1-CHL-01')",0.30171614507777195
"('N-HEX-01', 'DI-N--01')",0.7458662918061355
"('N-HEX-01', 'DIMET-02')",3.7195650032170486
"('N-HEX-01', 'DIETH-02')",0.27295963724813144
"('N-HEX-01', 'DIBUT-01')",1.0117376799493156
"('N-HEX-01', 'N-BUT-02')",0.38982484962367064
"('N-HEX-01', 'TRIPH-01')",2.07538169319651
"('N-HEX-01', '1-PEN-01')",0.8104128017802605
"('N-HEX-01', 'PROPY-01')",0.4464276402100893
"('N-HEX-01', 'N:N-D-02')",2.025745189782948
"('N-HEX-01', 'ETHYL-04')",7.548587478246954
"('N-HEX-01', 'PROPI-01')",0.7278728888020579
"('N-HEX-01', 'N-OCT-03')",1.247844869571226
"('N-HEX-01', '4-FOR-01')",22.474082819388087
"('N-HEX-01', 'N-TET-01')",1.1772270739130792
"('N-HEX-01', 'METHY-04')",0.0335258860670785
"('N-HEX-01', 'METHY-05')",1.81082850253911
"('N-HEX-01', 'N-EIC-01')",0.9935103139555498
"('N-HEX-01', 'N-MET-02')",3.268338138402513
"('N-HEX-01', 'PYRID-02')",0.45728842254415875
"('N-HEX-01', 'DIISO-01')",0.16344584163030357
"('N-HEX-01', '1-TRA-01')",0.2782847788592356
"('N-HEX-01', 'METHY-06')",0.29385819478233216
"('N-HEX-01', 'ANILI-01')",2.6783748140688446
"('N-HEX-01', '1-PEN-02')",0.3883117824481408
"('N-HEX-01', 'NITRO-02')",1.921584249464624
"('N-HEX-01', 'TERT--01')",0.08577308306561293
"('N-HEX-01', 'TETRA-02')",2.860083853295138
"('N-HEX-01', 'TRIET-02')",0.015718190006485333
"('N-HEX-01', '2-BUT-01')",0.23756762361092673
"('N-HEX-01', 'N-MET-03')",4.511622306470541
"('N-HEX-01', 'ISOBU-01')",0.45202709742193004
"('N-HEX-01', 'METHY-07')",0.20000821827779666
"('N-HEX-01', 'ETHYL-05')",0.38858578632394475
"('N-HEX-01', 'ETHYL-06')",0.3567117044294315
"('N-HEX-01', 'METHY-08')",0.24290908328424513
"('N-HEX-01', 'PROPY-02')",4.2405128309132225
"('N-HEX-01', 'METHY-09')",0.31986009493587364
"('N-HEX-01', 'N-BUT-03')",0.13068699808948653
"('N-HEX-01', '1-HEX-02')",1.314391871998238
"('N-HEX-01', '2-PYR-01')",3.6030638494224068
"('N-HEX-01', 'N-TRI-01')",1.4542442609863016
"('N-HEX-01', 'QUINO-01')",3.266267445495944
"('N-HEX-01', 'DIETH-04')",0.7880050594332219
"('N-HEX-01', 'TRI-N-01')",4.168010415468591
"('N-HEX-01', 'CYCLO-04')",0.2337317945050268
"('N-HEX-01', '3-MET-01')",0.06532666509295201
"('N-HEX-01', 'TRICH-01')",0.04003807945944838
